Concepto,Prisma (nombre exacto),Startrack (nombre exacto),ECON (nombre exacto),Nota
Título de la tarea,Sin equivalente (se deriva de no_activo y project_name),"StartrackJob.objective (requerido, máx. 255); «Titulo» en la pantalla, «Título» en el diccionario","Texto derivado en el borrador, máx. 255 caracteres","La clave API es objective, no «título». El texto ayuda a leer; no une fuentes."
Descripción de la tarea,Solicitud.comentarios; «Observaciones» en la pantalla,StartrackJob.description,RequestRecord.comments (se conserva; el borrador actual no lo transmite),"La descripción enviada hoy lleva los tres UUID y la referencia del movimiento, no el comentario del gerente."
Dirección o referencia del destino,Proyecto.description puede ser solo una ciudad,"StartrackJob.address, máx. 500 (*documentado, no leído*)",Sin campo en el borrador,Una ciudad no es una dirección estructurada. No geocodificar por suposición.
Período de uso solicitado,"Solicitud.fecha_inicio, Solicitud.fecha_fin; «Período»",Sin equivalente,"RequestRecord.starts_on, ends_on",Es cuándo el proyecto necesita la máquina. No es fecha de traslado ni ventana de entrega.
Período de asignación de la unidad,"Equipo.fecha_inicio_uso, fecha_fin_uso, observaciones_asignacion",Sin equivalente,"EquipmentRecord.assignment_starts_on, assignment_ends_on, assignment_note",Hecho de la asignación administrativa; distinto del período solicitado y de la programación del traslado.
Programación del traslado,Sin equivalente,"StartrackJob.start_date (requerido, YYYY-MM-DD), start_time (HH:mm:ss); «Fecha programada»","TransferMapping.scheduled_date, scheduled_time","Se indica expresamente. start_time no lleva zona: la de la cuenta debe confirmarse. Las fechas ISO del proveedor usan YYYY-MM-DD HH:mm:ss±hh:mm, con espacio en lugar de T."
Duración esperada del traslado,"Sin equivalente. minimum_usage_hours es uso del equipo, no viaje","StartrackJob.duration, en segundos (*documentado, no leído*); «Duración» del formulario, en minutos",Sin campo,"Es una duración planificada, no medida. Convertir requiere minutos × 60; no confundir con horas de uso ni con la diferencia entre fecha_inicio y fecha_fin."
Plazo y ventana de entrega,Sin equivalente,«Completar antes de» y «Ventana horaria de entrega» del formulario — sin contrato público consultado,Sin campo,Ver tiempos del traslado. No reutilizar fecha_fin como vencimiento ni start_time como ventana.
Estado de la solicitud,"Solicitud.status: PENDIENTE, APROBADA, RECHAZADA; «Estado de solicitud»",Sin equivalente,RequestRecord.status,Estado del flujo administrativo de Prisma.
Estado de la maquinaria,"Equipo.estado: DISPONIBLE, OCUPADA, OBSOLETA; «Estado»","«Estado» de vehículo en el diccionario (ejemplo Normal, sin catálogo) — sin contrato público consultado",EquipmentRecord.machinery_status,Disponibilidad administrativa del inventario. OCUPADA no significa GPS en destino.
Estado de la tarea,Sin equivalente,"StartrackJob.status es un ID; su significado lo da el catálogo StartrackJobStatus.id, name, workflow_role, color, deactivated","Movement.status, Movement.workflow_role","Tres «Estado» de objetos distintos —solicitud, máquina y tarea— que no se comparan ni se traducen entre sí. Presets 0 Pendiente, 1 Completada, 2 Cancelada, pero cada cliente define los suyos (Entregado con rol 1, No se pudo entregar con rol 2): el nombre no basta, se consulta workflow_role. Los desconocidos se conservan."
Estado del envío en ECON,Sin equivalente,Sin equivalente,"Movement.state: draft, blocked, queued, sending, sent, unknown, failed","Es un cuarto estado, propio del hub: describe el despacho, no la ejecución ni la entrega."
Cierre de la tarea y lugar de cierre,Sin equivalente,"StartrackJob.closed_date, last_status_change_date (RO); completed_lat, completed_lon, x, y (RO; *documentados, no leídos* salvo las dos fechas)",OperationEvent con event_time y observed_at,"closed_date cubre completar o cancelar: no equivale a entregar. El punto de cierre es dónde se pulsó el botón, no el destino planificado."
Falla y mantenimiento,"Equipo.active_failure_id, active_failure_status, active_failure_is_paro; catálogo SIN_REVISAR, PENDIENTE_INTERVENCION, EN_PROCESO, ESPERA_REPUESTOS, TRASLADO_STD, EN_PRUEBAS, FINALIZADO, RECHAZADO","Sin equivalente en el Job Data Object; el módulo «Mantenimiento» del diccionario («Referencia», «Fecha de servicio(s)», «Odometro», «Horometro», «Motivo de reparación») está sin contrato público consultado","EquipmentRecord.maintenance_failure_id, maintenance_status, maintenance_is_stopped","Restricción independiente del traslado. null/ausente no se convierte en false. Ojo: TRASLADO_STD es un paso del flujo de falla en Prisma, no el traslado de maquinaria de este proyecto."
Tarifa y horas mínimas,"Equipo.precio_x_hora, catalog_precio_x_hora, current_project_rate, project_rates, effective_precio_x_hora, minimum_usage_hours; «Tarifa por hora (proyecto)» del modal de asignación","Sin equivalente. «Artículos» del formulario (Cant., SKU, volumen, peso, «Precio unitario» en GTQ) describe mercancía y está sin contrato público consultado","EquipmentRecord.project_rate (hourly_rate, project_id, effective_from, effective_to)",El dinero no cruza a la tarea. Una tarifa por hora no es duración ni precio de artículo.
Visita o llegada observada,Sin equivalente,"StartrackVisit.start_date, end_date, poi_id, vehicle_id, driver_id (informe de visitas a POI)","OperationEvent.kind, event_time, observed_at, recorded_at","Evidencia espacial acotada, sin job_id que acredite causalidad. Entrar en la geocerca no prueba descarga; el GPS puede ser del transportador."
Recepción,Sin equivalente,Sin equivalente; una tarea Completada no es una recepción,"ReceiptRecord.receiver, received_at, reference; clase de evidencia manual_declaration","Solo existe como declaración explícita en ECON, con responsable, instante con zona y referencia de constancia."
Activo rastreado por GPS del traslado,Sin equivalente,StartrackVehicle.id (se usa al filtrar StartrackVisit.vehicle_id),Movement.tracked_vehicle_id,Elección separada: el GPS puede estar en la máquina o en el transportador. No es un campo del Job.
Coordenadas,"Historial de maquinaria: gps_latitude, gps_longitude, gps_accuracy_meters, gps_captured_at","POI.x, POI.y (geocerca); Job.completed_lat, completed_lon, x, y (cierre); «Latitud», «Longitud» del kit, enteros 133376152 / -878486967 sin escala documentada","Sin geometría conservada (StartrackPoi guarda id, name, remote_id y fechas)",Las coordenadas de entrada del formulario no están en el objeto público: solo hay las de cierre. No dividir los enteros del diccionario para fabricar grados.
"Empresa, grupo o etiqueta del equipo participante","Equipo.empresa («The Hub», «Los Filósofos»)","«Grupo» (Vehículos-Hackathon, Conductores-Hackathon), «Etiquetas» (Equipo 14 - The Hub), user_group_ids de tipos y estados",EquipmentRecord.company,empresa se describe como «código interno» pero contiene el nombre del equipo participante. No se convierte en entidad legal.
Organización o cliente,"Equipo.org_id, Solicitud.org_id (fuera de los DTO)",client_id (RO) en Job y JobStatus,Fuera del modelo; la operación se acota por proveedor y entorno,org_id no equivale a client_id. Son particiones de dos productos distintos.
Formularios de la tarea,Sin equivalente,"StartrackJob.form_ids, required_form_ids; «Formularios»","StartrackTaskDraft.form_ids, required_form_ids (no propagados desde TransferMapping)","Un formulario respondido no es, por sí solo, criterio de recepción."
Contacto y notificaciones de la tarea,Sin equivalente en la solicitud,"contact_name, phone_number, contact_email, notification_emails_csv, notification_phone_numbers_csv, notify_contact (*documentados, no leídos*); en el catálogo de estados, notification_via, notification_message, notification_form_id",Sin campo; el borrador fuerza notify_contact a False,El valor por defecto del proveedor es true: crear una tarea sin desactivarlo puede avisar a terceros. Por eso ECON lo envía siempre apagado.
Adjuntos y campos personalizados,Sin adjuntos de solicitud en el contrato leído,"files (estándar de archivos), custom_fields (JSON Schema) — *documentados, no leídos*",Sin campo,Un adjunto no equivale a evidencia de recepción.
