Sección,Campo del formulario,Prisma: campo exacto o ausencia,Modelo normalizado / regla de ECON,Campo API de Startrack,Clasificación y alcance
Programación y ubicación,Origen,Equipo.project_id es asignación administrativa; no prueba el punto de salida actual.,No hay origen en TransferMapping ni StartrackTaskDraft.,No documentado como origen de Job.,Sin equivalente y no soportado. No inventar origin_poi_id; una segunda tarea exigiría modelar otra operación expresamente.
Programación y ubicación,Destino,"Solicitud.project_id, project_name; opcionalmente Proyecto.id, name.",RequestRecord.project_id + correspondencia explícita TransferMapping.poi_id.,poi_id,"Manual; implementada. ECON valida presencia en catálogo, no deduce el vínculo por nombre."
Programación y ubicación,El usuario debe estar en la Geocerca para completar la tarea,No existe esa condición en la solicitud.,Sin campo de mapeo/borrador.,No documentado en Job.,No soportado. required_form_ids no activa esta condición.
Programación y ubicación,Latitud,"No está en Solicitud/Proyecto consultados. El historial de maquinaria sí documenta gps_latitude, nullable, para otro evento.",No hay coordenada de destino en el mapeo. StartrackPoi actual tampoco conserva geometría.,"POI.y para geocerca; Job.completed_lat / Job.y corresponden a finalización, no a destino planificado.",Sin equivalente directo; geometría no implementada. No copiar una coordenada histórica ni de cierre al destino.
Programación y ubicación,Longitud,"Mismo límite; el historial puede contener gps_longitude, nullable.",Sin coordenada normalizada de destino.,POI.x para geocerca; Job.completed_lon / Job.x corresponden a finalización.,Sin equivalente directo; geometría no implementada.
Programación y ubicación,Dirección o referencia,Proyecto.description puede ser solo una ciudad. Solicitud.comentarios no es una dirección estructurada.,Sin lector de proyectos en ECON; la descripción del proyecto no se lee y no pasa al borrador.,address,"Manual; documentado, no soportado por el borrador actual. No geocodificar por suposición."
Programación y ubicación,Ventana horaria de entrega: de,No disponible; inicio de uso no fija una ventana de llegada.,Sin campo.,No documentado en Job.,No soportado. No reutilizar start_time con otro significado.
Programación y ubicación,Ventana horaria de entrega: a,No disponible; fin de uso no fija una ventana de llegada.,Sin campo.,No documentado en Job.,No soportado.
Programación y ubicación,Duración / Minutos,No hay duración estimada del traslado. minimum_usage_hours pertenece al uso del equipo.,Sin campo en borrador; una futura conversión tendría que aplicar minutos × 60.,duration,"Transformada si se incorpora; hoy solo documentada. La unidad API es segundos, no horas de uso ni diferencia entre fechas de solicitud."
Asignación y formularios,Asignar a,"Operador.id, nombre, cod_trabajador; el detalle de equipo incluye associated_operators. Solicitud.requested_by_user_id identifica al solicitante.",NexusOperatorLink conserva los operadores del detalle de equipo (EquipmentRecord.operators); no hay lector del catálogo /api/maquinaria/operadores. La preparación exige TransferMapping.assigned_user_ids confirmado independientemente.,assigned_user_ids,Manual; implementada. No usar UUID de operador o solicitante como ID de usuario Startrack.
Asignación y formularios,Formularios,No hay IDs de formularios Startrack en Prisma.,StartrackTaskDraft.form_ids y required_form_ids existen; TransferMapping no los recibe y prepare_transfer no los propaga.,"form_ids, required_form_ids","Manual; soporte de SDK, pendiente en preparación/UI y selección de catálogo. No hay un formulario de recepción elegido por defecto."
Artículos y valores económicos,Artículos,No existe una lista de artículos de entrega en la solicitud de maquinaria.,Sin colección de artículos.,No documentada en Job.,Sin equivalente y no soportado. La existencia de APIs de pedidos/productos no documenta su vínculo con esta tarea.
Artículos y valores económicos,Cant.,Una maquinaria_id no es cantidad comercial; una solicitud por tipo tampoco autoriza inventar una unidad entregada.,Sin campo.,No documentado en Job.,Sin equivalente y no soportado.
Artículos y valores económicos,Descripción del artículo,"Equipo.nombre describe una máquina, no una línea de pedido.",EquipmentRecord.name queda en maquinaria.,No documentado como artículo de Job.,Sin equivalente directo; no confundir con Job.description.
Artículos y valores económicos,SKU,clave y no_activo identifican el equipo en su dominio; no son un SKU acreditado.,code y asset_number separados.,No documentado en Job.,Sin equivalente y no soportado.
Artículos y valores económicos,Volumen m³,No disponible en el contrato leído de maquinaria/solicitud.,Sin campo.,No documentado en Job.,Sin equivalente y no soportado; no estimar por clase de máquina.
Artículos y valores económicos,Peso kg,No disponible en el contrato leído de maquinaria/solicitud.,Sin campo.,No documentado en Job.,Sin equivalente y no soportado; no estimar por nombre/modelo.
Artículos y valores económicos,Precio unitario,"precio_x_hora, current_project_rate.precio_x_hora, effective_precio_x_hora son tarifas por hora de equipo.",EquipmentRecord.project_rate conserva la tarifa vigente con su proyecto y vigencia (solo en la lectura de detalle); no entra en el borrador.,No documentado como precio de artículo de Job.,Sin equivalente y no soportado. No convertir tarifa horaria en precio de transporte o de artículo.
Artículos y valores económicos,Total GTQ,La solicitud no aporta total de artículos ni moneda acreditada para su tarifa horaria.,Sin cálculo ni conversión monetaria.,No documentado en Job.,Sin equivalente y no soportado. GTQ es la etiqueta de esa pantalla; no fija la moneda de Prisma.
Contacto y notificaciones,Contacto: Nombre,"requested_by_name es solicitante; manager_name es gerente, sin confirmar quién recibe.",RequestRecord.requested_by no se convierte en contacto.,contact_name,"Manual; documentado, no soportado por el borrador actual."
Contacto y notificaciones,Contacto: Teléfono,No disponible en el objeto de solicitud leído.,Sin campo.,phone_number,"Manual; documentado, no soportado. No se obtiene del código MOT."
Contacto y notificaciones,Contacto: Email,No disponible en el objeto de solicitud leído.,Sin campo.,contact_email,"Manual; documentado, no soportado. No usar correo de autenticación."
Contacto y notificaciones,Notificaciones de estado: Emails,No hay destinatarios aprobados para la tarea en Prisma.,Sin campo de destinatarios.,notification_emails_csv,"Manual; documentado, no soportado por ECON."
Contacto y notificaciones,Notificaciones de estado: Teléfonos,No hay destinatarios aprobados para la tarea en Prisma.,Sin campo de destinatarios.,notification_phone_numbers_csv,"Manual; documentado, no soportado por ECON. El máximo de cinco y el prefijo de país son instrucciones visibles del formulario; requieren validar además las restricciones API."
Contacto y notificaciones,Activación de aviso al contacto,No deriva de aprobar la solicitud.,StartrackTaskDraft.notify_contact=False; transporte envía 0.,notify_contact,Decisión explícita implementada: ECON no solicita avisos al contacto ni envía listas de destinatarios. Las reglas propias de la cuenta deben verificarse aparte.
